subject,keywords
"Kecerdasan Artifisial dan Machine Learning",4,"kecerdasan buatan, pembelajaran mesin, jaringan syaraf tiruan, pembelajaran mendalam, pengolahan citra, penambangan data, algoritma, pembelajaran terawasi, pembelajaran tanpa pengawasan, pembelajaran penguatan"
"Pemrograman Mobile",3,"android, ios, aplikasi mobile, flutter, react native, swift, kotlin, xcode, android studio, antarmuka pengguna, pengalaman pengguna"
"Interaksi Manusia dan Komputer",3,"UX, UI, interaksi manusia-komputer, desain antarmuka, pengujian kegunaan, aksesibilitas, kerangka kawat, pembuatan prototipe, interaksi pengguna, pengalaman pengguna"
"Teknologi Multimedia",3,"multimedia, pengeditan video, pengeditan audio, animasi, grafik komputer, desain grafis, efek visual, pemodelan 3D, rendering, konten digital"
"Operasional Pengembang",3,"DevOps, CI/CD, integrasi berkelanjutan, pengiriman berkelanjutan, otomatisasi, pemantauan, penerapan, infrastruktur cloud, kontrol versi, kontainerisasi"
"Desain dan Manajemen Jaringan Komputer",3,"desain jaringan, manajemen jaringan, LAN, WAN, routing, switching, keamanan jaringan, VPN, protokol jaringan, topologi jaringan"
"Jaringan Nirkabel",3,"jaringan nirkabel, WiFi, Bluetooth, komunikasi nirkabel, pemrosesan sinyal, jaringan seluler, jaringan RF, keamanan nirkabel, standar nirkabel"
"Business Intelligence",3,"BI, analisis data, visualisasi data, dasbor, pelaporan, penyimpanan data, ETL, penambangan data, analitik bisnis, sistem pendukung keputusan"
"Forensik Digital",3,"forensik digital, kejahatan siber, pengumpulan bukti, respons insiden, analisis malware, pencitraan disk, pemulihan data, alat forensik, prosedur hukum, analisis forensik"
"Malware dan Cyber Threat Intelligence",3,"analisis malware, intelijen ancaman, ancaman siber, serangan siber, deteksi intrusi, penilaian kerentanan, pengujian penetrasi, perburuan ancaman, keamanan siber, respons insiden"
"Manajemen Keamanan Siber",3,"manajemen keamanan siber, penilaian risiko, kebijakan keamanan, kepatuhan, keamanan informasi, arsitektur keamanan, manajemen insiden, manajemen ancaman, kontrol keamanan"
"Quantum Computing untuk Cybersecurity",3,"komputasi kuantum, kriptografi kuantum, kriptografi pasca-kuantum, algoritma kuantum, distribusi kunci kuantum, keamanan kuantum, teori informasi kuantum, ketahanan kuantum, keamanan siber, enkripsi"
"Privasi/Perlindungan Data dan Ergonomi pada Cybersecurity",3,"privasi data, perlindungan data, GDPR, keamanan data, privasi pengguna, privasi informasi, kebijakan privasi, ergonomi, faktor manusia, praktik terbaik keamanan siber"
"Audit Keamanan Informasi",3,"audit keamanan informasi, audit TI, audit kepatuhan, kontrol keamanan, penilaian risiko, prosedur audit, kebijakan keamanan, standar audit, kepatuhan regulasi, audit internal"
"Skalabilitas dan Reliabilitas Sistem",3,"skalabilitas sistem, keandalan sistem, penyeimbangan beban, toleransi kesalahan, ketersediaan tinggi, sistem terdistribusi, optimisasi kinerja, pengujian skalabilitas, arsitektur sistem, rekayasa keandalan"
"Pengadaan IT",3,"pengadaan TI, manajemen vendor, manajemen kontrak, proses pengadaan, sumber, aset TI, strategi pengadaan, evaluasi pemasok, kebijakan pengadaan, siklus hidup pengadaan"
"Penjaminan Kualitas TI",3,"penjaminan kualitas TI, pengujian QA, pengujian perangkat lunak, otomatisasi pengujian, kontrol kualitas, manajemen cacat, perencanaan pengujian, proses QA, metrik kualitas, perbaikan berkelanjutan"
"Teknologi Blockchain",3,"teknologi blockchain, cryptocurrency, kontrak pintar, buku besar terdistribusi, aplikasi blockchain, algoritma konsensus, keamanan blockchain, keuangan terdesentralisasi, platform blockchain, tokenisasi"
"Sistem Cerdas",3,"sistem cerdas, kecerdasan buatan, sistem pakar, sistem pendukung keputusan, logika fuzzy, jaringan syaraf tiruan, agen cerdas, sistem adaptif, teknologi cerdas, sistem berbasis pengetahuan"
"Otomasi Sistem",3,"otomasi sistem, otomatisasi proses, RPA, otomatisasi proses robotik, alat otomatisasi, otomatisasi alur kerja, skrip otomatisasi, pengujian otomatisasi, kerangka otomatisasi, strategi otomatisasi"
"Keamanan Sistem Cyber-Physical dan Kota Cerdas",3,"sistem cyber-physical, keamanan kota pintar, keamanan IoT, infrastruktur kritis, serangan cyber-physical, keamanan smart grid, keamanan perkotaan, keamanan siber, jaringan sensor, protokol keamanan"
"Internet of Things",3,"IoT, perangkat terhubung, platform IoT, keamanan IoT, jaringan sensor, komunikasi M2M, perangkat pintar, aplikasi IoT, analitik IoT, infrastruktur IoT"
"Cloud Computing",4,"komputasi awan, layanan cloud, infrastruktur cloud, keamanan cloud, AWS, Azure, Google Cloud, migrasi cloud, arsitektur cloud, penerapan cloud"
